fold,r2,pearson_r,mse,rmse
0,0.4998078443342312,0.7109200312209408,0.23645824775918697,0.48626972737276886
1,0.5118285155831124,0.7176781006143864,0.23088474325076175,0.48050467557637955
2,0.48752652218295545,0.7001025769870611,0.25215222994912584,0.5021476176873946
3,0.5636104706174017,0.7590740369438052,0.21127886025844234,0.45965080252126433
4,0.5330031987626446,0.7371841682459039,0.22634126494963064,0.475753365673466
5,0.5107191778397523,0.7166889860027131,0.2293929111181122,0.47894980020677763
6,0.532024566817876,0.7338281449169276,0.22618139651539235,0.47558531991157205
7,0.4904093535700814,0.7026037869959859,0.2296521861831553,0.47922039416447554
8,0.49961372683715,0.7076476770227154,0.21914242723697053,0.4681265077273135
9,0.5108825164907425,0.7168515772282419,0.231002034631054,0.480626710276337
